SubjCode,idx,seq_size,label,RRl,RRr,RRl/RRr,0,1,2
10020,1,137,0,99,98,1.010204081632653,1.1086693913476913,1.1133248007888703,1.1199792978136147
10020,2,135,0,98,97,1.0103092783505154,1.0924909877657996,1.0978806511225174,1.103801750005517
10020,3,136,0,97,99,0.9797979797979798,0.9511428301555874,0.9556484791827582,0.9611262872402926
10020,4,136,0,99,97,1.0206185567010309,0.978220368782122,0.981224134800236,0.9867190583336571
10020,5,134,0,97,97,1.0,1.0141534546324291,1.0216654369990963,1.0276866614160332
10020,6,135,0,97,98,0.9897959183673469,1.1335330431682829,1.1524542017610162,1.150649374828765
10020,7,136,0,98,98,1.0,1.0395280034082381,1.0454200059822307,1.0522841675865866
10020,8,136,0,98,98,1.0,0.9446714687228308,0.9403968786201307,0.9355754490628505
10020,9,137,0,98,99,0.98989898989899,1.0287991673486678,1.0260059216839603,1.0271483796993968
10020,10,138,0,99,99,1.0,0.6939913626960451,0.7074740788257835,0.7191596699874196
10020,11,140,0,99,102,0.9705882352941176,0.6527790083084893,0.6710977021500114,0.6842107240005973
10020,12,143,0,102,104,0.9807692307692307,0.7323086343373676,0.7323086343373677,0.7311447819770729
10020,13,146,0,104,107,0.9719626168224299,0.4536994947586846,0.46511551717510546,0.4764536641762418
10020,14,149,0,107,108,0.9907407407407407,0.6241687788163018,0.6365809219293279,0.6494081153326061
10020,15,152,0,108,110,0.9818181818181818,0.6100339630552806,0.6152028367730603,0.6192258293802264
10020,16,153,0,110,109,1.0091743119266054,0.36718761034183195,0.37200048216116854,0.37896990394222785
10020,17,150,0,109,107,1.0186915887850467,0.6520978123681991,0.6690566816505238,0.6846600052426228
10020,18,148,0,107,106,1.009433962264151,0.7685823181578196,0.7690855131488882,0.7840598430021515
10020,19,146,0,106,104,1.0192307692307692,0.6691277108754535,0.6713612804786664,0.6806036374574778
10020,20,144,0,104,104,1.0,0.5739305782199011,0.533546612865261,0.5554047871201502
10021,1,222,0,158,161,0.9813664596273292,-1.8523243015042878,-1.8408072977801355,-1.827795257237281
10021,2,224,0,161,160,1.00625,-1.2091050348852868,-1.1916857593016101,-1.1781825046008079
10021,3,224,0,160,161,0.9937888198757764,-0.7460620944730377,-0.7309593985506244,-0.7175477116458158
10021,4,221,0,161,157,1.0254777070063694,-0.3404099120302364,-0.3266028576324453,-0.3105194449417247
10021,5,225,0,157,166,0.9457831325301205,-0.17998826809189938,-0.16716535355759282,-0.15233821679695508
10021,6,236,0,166,172,0.9651162790697675,0.05536492927835731,0.07120701375907565,0.08414631352941168
10021,7,240,0,172,172,1.0,0.2917399205590493,0.30329115523497496,0.3059363520332625
10021,8,248,0,172,184,0.9347826086956522,0.31626297440949575,0.3258639006081333,0.327508697840844
10021,9,253,0,184,179,1.0279329608938548,0.2551256387684522,0.2652819621596128,0.26220459959518627
10021,10,253,0,179,184,0.9728260869565217,0.3418078221703774,0.3576909837932238,0.37505976872303465
10021,11,251,0,184,177,1.03954802259887,0.24558889560438965,0.2389215619727304,0.2230503811830047
10021,12,244,0,177,173,1.023121387283237,0.26023460832062856,0.24549390471321852,0.19842720179862117
10021,13,236,0,173,165,1.0484848484848486,0.12178153345664972,0.1430620604003631,0.14772089293671958
10021,14,232,0,165,168,0.9821428571428571,0.23230557476873118,0.23308432892157546,0.23778081550488267
10021,15,235,0,168,170,0.9882352941176471,0.2258342133359745,0.23322296427625766,0.23983638415887387
10021,16,243,0,170,179,0.9497206703910615,0.1805346833066776,0.18294625385911195,0.1809694163941995
10021,17,250,0,179,179,1.0,0.2208955427688707,0.22446839836021681,0.2170368587302169
10021,18,255,0,179,186,0.9623655913978495,0.2626187941116442,0.2608892752732943,0.26379719462644263
10021,19,255,0,186,179,1.0391061452513966,0.22872929608220774,0.21587043904853911,0.1898668965338942
10021,20,242,0,179,168,1.0654761904761905,0.47447073154188973,0.4710048476748354,0.4707823464883085
10051,1,329,0,237,235,1.0085106382978724,2.6341702548456665,2.554128876087776,2.4926903080711265
10051,2,328,0,235,235,1.0,2.1174831341355658,2.014881846611432,1.9398116578248303
10051,3,334,0,235,243,0.9670781893004116,1.6484797292457776,1.5364538049246392,1.4583558884536822
10051,4,340,0,243,243,1.0,1.2275006381464473,1.1570037045167685,1.1098505684489433
10051,5,340,0,243,243,1.0,0.9838027905076359,0.910360283477858,0.8600673133586201
10051,6,342,0,243,246,0.9878048780487805,0.764627996719271,0.6944177473106942,0.6479081531362083
10051,7,347,0,246,250,0.984,0.5120746018566873,0.4622471726815671,0.42801878822957434
10051,8,349,0,250,249,1.0040160642570282,0.3867345488432944,0.34554615612198,0.32060462888610397
10051,9,346,0,249,247,1.008097165991903,0.2986899735607888,0.2585730096299811,0.23290150734753784
10051,10,342,0,247,244,1.0122950819672132,0.20451463481567161,0.1546854940929628,0.12453572754476772
10051,11,337,0,244,239,1.0209205020920502,0.1685815489653647,0.12015159839639263,0.08699977737767248
10051,12,330,0,239,234,1.0213675213675213,0.255604330337435,0.17029908697059387,0.10233267645076184
10051,13,323,0,234,229,1.0218340611353711,0.29238891111310467,0.16999357572601648,0.07483152979603172
10051,14,323,0,229,233,0.9828326180257511,0.36136000006748525,0.22054841262632086,0.11400885410066033
10051,15,326,0,233,233,1.0,0.2692282491432386,0.1520505665802072,0.062341511267721236
10051,16,326,0,233,234,0.9957264957264957,0.27161243493425424,0.15334535233103513,0.060956013494693845
10051,17,326,0,234,234,1.0,0.1653458682489864,0.04833848467102752,-0.03223432961314447
10051,18,328,0,234,236,0.9915254237288136,0.15478733117448862,0.056554768870432044,-0.015414951459296253
10051,19,329,0,236,235,1.004255319148936,0.15001895959245737,0.05475079771197515,-0.015240373605252025
10051,20,331,0,235,239,0.9832635983263598,0.1265176996524462,0.029467816732159764,-0.035451183306047455
